Sheet 1: Healthy life expectancy in the UK by age and sex: between 2011 to 2013 and 2022 to 2024,,,,,,,,,,,,
[note 1] [note 2] [note 3] [note 4] [note 5] [note 6] [note 7],,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,
HLE refers to healthy life expectancy; LCI refers to lower bound of the 95% confidence interval; UCI refers to upper bound of the 95% confidence interval; Proportion (%) refers to proportion of life spent in good health.,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,
Return to Contents,,,,,,,,,,,,
Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Male,1,65 to 69,15,7.8,6.3,9.3,46
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Male,1,70 to 74,16,5.7,4.2,7.3,42
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Male,1,75 to 79,17,4.0,2.3,5.7,38
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Male,1,80 to 84,18,2.8,0.9,4.7,34
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Male,1,85 to 89,19,1.7,0.5,2.9,30
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Male,1,90+,20,1.3,0.4,2.1,29
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,<1,1,58.9,56.4,61.4,73
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,01 to 04,2,58.1,55.6,60.6,72
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,05 to 09,3,54.5,52.2,56.7,71
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,10 to 14,4,49.9,47.9,51.9,70
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,15 to 19,5,45.4,43.5,47.3,69
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,20 to 24,6,41.0,39.2,42.9,67
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,25 to 29,7,36.8,35.0,38.6,65
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,30 to 34,8,32.7,31.0,34.5,63
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,35 to 39,9,28.7,27.1,30.4,62
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,40 to 44,10,24.9,23.2,26.5,60
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,45 to 49,11,21.2,19.7,22.8,57
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,50 to 54,12,17.8,16.3,19.4,55
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,55 to 59,13,14.7,13.2,16.2,53
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,60 to 64,14,11.8,10.3,13.2,50
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,65 to 69,15,9.2,7.7,10.6,47
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,70 to 74,16,6.8,5.4,8.3,44
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,75 to 79,17,4.9,3.3,6.4,40
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,80 to 84,18,3.2,1.7,4.8,37
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,85 to 89,19,2.1,1.1,3.1,33
2012 to 2014,Scotland,Local Areas,S12000021,North Ayrshire,Female,2,90+,20,1.3,0.7,2.0,29
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,<1,1,71.2,66.6,75.9,91
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,01 to 04,2,70.5,65.8,75.1,91
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,05 to 09,3,66.7,62.2,71.3,90
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,10 to 14,4,62.0,57.6,66.4,89
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,15 to 19,5,57.1,52.7,61.4,89
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,20 to 24,6,52.2,47.9,56.5,88
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,25 to 29,7,47.4,43.1,51.7,87
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,30 to 34,8,43.1,39.2,47.0,86
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,35 to 39,9,38.7,34.9,42.5,85
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,40 to 44,10,34.2,30.5,37.9,84
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,45 to 49,11,29.8,26.1,33.5,82
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,50 to 54,12,25.3,21.6,29.0,81
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,55 to 59,13,21.1,17.4,24.8,79
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,60 to 64,14,17.3,13.6,21.0,76
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,65 to 69,15,13.8,10.0,17.7,74
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,70 to 74,16,10.6,6.5,14.6,71
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,75 to 79,17,7.7,3.3,12.1,68
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,80 to 84,18,5.2,0.1,10.4,63
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,85 to 89,19,3.7,0.1,7.3,60
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Male,1,90+,20,2.5,0.0,4.9,55
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,<1,1,74.3,70.0,78.6,90
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,01 to 04,2,73.4,69.1,77.6,90
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,05 to 09,3,69.4,65.3,73.4,89
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,10 to 14,4,64.4,60.5,68.3,88
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,15 to 19,5,59.5,55.7,63.3,88
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,20 to 24,6,54.8,51.0,58.5,87
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,25 to 29,7,50.0,46.4,53.6,86
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,30 to 34,8,45.4,41.9,48.8,85
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,35 to 39,9,41.0,37.6,44.4,84
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,40 to 44,10,36.4,33.1,39.6,83
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,45 to 49,11,31.7,28.4,34.9,82
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,50 to 54,12,27.1,23.9,30.3,80
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,55 to 59,13,22.9,19.8,26.1,78
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,60 to 64,14,19.1,15.9,22.2,77
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,65 to 69,15,15.4,12.2,18.6,74
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,70 to 74,16,11.8,8.5,15.0,71
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,75 to 79,17,8.6,5.2,12.0,68
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,80 to 84,18,6.0,2.5,9.5,65
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,85 to 89,19,4.0,1.6,6.3,61
2012 to 2014,Scotland,Local Areas,S12000023,Orkney Islands,Female,2,90+,20,2.5,1.0,3.9,60
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,<1,1,65.8,63.8,67.9,83
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,01 to 04,2,65.0,62.9,67.0,83
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,05 to 09,3,61.1,59.2,63.1,82
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,10 to 14,4,56.3,54.5,58.2,81
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,15 to 19,5,51.5,49.8,53.3,80
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,20 to 24,6,46.9,45.1,48.6,79
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,25 to 29,7,42.4,40.7,44.1,77
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,30 to 34,8,37.8,36.1,39.5,76
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,35 to 39,9,33.5,31.9,35.2,74
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,40 to 44,10,29.4,27.7,31.0,72
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,45 to 49,11,25.2,23.6,26.8,70
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,50 to 54,12,21.2,19.7,22.8,68
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,55 to 59,13,17.5,15.9,19.0,65
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,60 to 64,14,14.0,12.5,15.5,62
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,65 to 69,15,10.9,9.4,12.5,60
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,70 to 74,16,8.1,6.5,9.7,56
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,75 to 79,17,5.7,4.0,7.4,52
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,80 to 84,18,3.7,1.9,5.6,47
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,85 to 89,19,2.3,1.2,3.4,42
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Male,1,90+,20,1.2,0.6,1.9,37
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,<1,1,67.2,64.9,69.4,81
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,01 to 04,2,66.3,64.1,68.5,81
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,05 to 09,3,62.5,60.4,64.6,80
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,10 to 14,4,57.8,55.9,59.7,79
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,15 to 19,5,53.1,51.2,54.9,78
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,20 to 24,6,48.5,46.6,50.3,77
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,25 to 29,7,43.9,42.1,45.6,76
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,30 to 34,8,39.5,37.7,41.2,74
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,35 to 39,9,35.1,33.4,36.8,73
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,40 to 44,10,30.8,29.2,32.5,71
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,45 to 49,11,26.7,25.1,28.3,69
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,50 to 54,12,22.7,21.1,24.3,67
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,55 to 59,13,19.0,17.5,20.6,65
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,60 to 64,14,15.6,14.0,17.1,63
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,65 to 69,15,12.3,10.8,13.9,60
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,70 to 74,16,9.3,7.7,10.8,57
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,75 to 79,17,6.6,5.0,8.2,53
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,80 to 84,18,4.5,2.9,6.1,49
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,85 to 89,19,2.9,1.9,3.9,45
2012 to 2014,Scotland,Local Areas,S12000026,Scottish Borders,Female,2,90+,20,1.9,1.2,2.5,40
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,<1,1,65.7,60.3,71.1,84
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,01 to 04,2,64.7,59.3,70.0,84
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,05 to 09,3,60.7,55.6,65.9,83
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,10 to 14,4,55.8,50.9,60.7,82
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,15 to 19,5,51.1,46.3,55.8,81
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,20 to 24,6,46.4,41.6,51.1,80
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,25 to 29,7,42.1,37.3,46.8,78
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,30 to 34,8,37.8,33.2,42.3,77
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,35 to 39,9,33.3,28.9,37.6,75
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,40 to 44,10,29.2,24.9,33.6,73
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,45 to 49,11,25.3,21.0,29.6,71
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,50 to 54,12,21.4,17.2,25.7,69
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,55 to 59,13,17.9,13.6,22.1,67
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,60 to 64,14,14.4,10.2,18.6,64
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,65 to 69,15,11.6,7.2,16.1,62
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,70 to 74,16,8.8,4.1,13.5,59
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,75 to 79,17,6.2,1.2,11.2,55
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,80 to 84,18,4.2,-1.1,9.5,51
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,85 to 89,19,2.7,-0.7,6.0,47
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Male,1,90+,20,1.5,-0.4,3.4,43
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,<1,1,67.8,60.1,75.4,82
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,01 to 04,2,67.0,59.4,74.6,82
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,05 to 09,3,63.1,55.7,70.5,81
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,10 to 14,4,58.3,51.1,65.4,80
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,15 to 19,5,53.5,46.4,60.5,79
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,20 to 24,6,48.7,41.7,55.7,78
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,25 to 29,7,44.0,37.2,50.9,76
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,30 to 34,8,39.7,32.9,46.4,75
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,35 to 39,9,35.2,28.6,41.8,73
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,40 to 44,10,30.8,24.3,37.3,72
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,45 to 49,11,26.8,20.3,33.3,70
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,50 to 54,12,22.8,16.3,29.3,68
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,55 to 59,13,19.2,12.6,25.8,65
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,60 to 64,14,15.8,9.1,22.6,63
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,65 to 69,15,12.7,5.7,19.6,60
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,70 to 74,16,9.7,2.4,17.0,56
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,75 to 79,17,6.8,-0.8,14.4,52
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,80 to 84,18,4.4,-3.7,12.5,48
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,85 to 89,19,2.8,-2.4,8.1,43
2012 to 2014,Scotland,Local Areas,S12000027,Shetland Islands,Female,2,90+,20,1.6,-1.4,4.7,39
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,<1,1,61.1,58.6,63.6,78
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,01 to 04,2,60.4,58.0,62.9,78
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,05 to 09,3,56.7,54.4,58.9,77
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,10 to 14,4,51.9,49.9,53.9,76
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,15 to 19,5,47.3,45.4,49.1,74
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,20 to 24,6,42.7,40.9,44.5,73
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,25 to 29,7,38.3,36.5,40.0,71
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,30 to 34,8,33.9,32.2,35.6,69
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,35 to 39,9,29.8,28.2,31.4,67
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,40 to 44,10,25.9,24.3,27.5,65
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,45 to 49,11,22.1,20.5,23.6,62
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,50 to 54,12,18.5,17.0,19.9,60
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,55 to 59,13,15.0,13.6,16.4,57
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,60 to 64,14,11.9,10.5,13.2,54
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,65 to 69,15,9.1,7.7,10.4,51
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,70 to 74,16,6.7,5.3,8.0,47
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,75 to 79,17,4.7,3.2,6.1,43
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,80 to 84,18,3.1,1.5,4.7,38
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,85 to 89,19,1.9,1.0,2.9,32
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Male,1,90+,20,1.2,0.6,1.8,26
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,<1,1,61.8,59.4,64.2,76
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,01 to 04,2,61.1,58.7,63.4,76
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,05 to 09,3,57.3,55.2,59.5,75
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,10 to 14,4,52.7,50.7,54.6,74
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,15 to 19,5,48.1,46.3,49.9,73
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,20 to 24,6,43.6,41.8,45.4,71
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,25 to 29,7,39.2,37.5,40.9,70
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,30 to 34,8,34.9,33.3,36.6,68
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,35 to 39,9,30.9,29.3,32.5,66
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,40 to 44,10,26.9,25.4,28.5,64
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,45 to 49,11,23.2,21.7,24.7,62
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,50 to 54,12,19.6,18.2,21.1,60
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,55 to 59,13,16.2,14.8,17.6,58
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,60 to 64,14,13.1,11.7,14.4,55
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,65 to 69,15,10.2,8.9,11.6,52
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,70 to 74,16,7.7,6.4,9.0,49
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,75 to 79,17,5.5,4.1,6.8,46
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,80 to 84,18,3.7,2.3,5.1,42
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,85 to 89,19,2.4,1.5,3.3,37
2012 to 2014,Scotland,Local Areas,S12000028,South Ayrshire,Female,2,90+,20,1.5,0.9,2.0,33
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,<1,1,61.1,59.0,63.2,80
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,01 to 04,2,60.3,58.3,62.4,80
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,05 to 09,3,56.6,54.7,58.5,79
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,10 to 14,4,51.8,50.1,53.6,77
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,15 to 19,5,47.2,45.5,48.8,76
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,20 to 24,6,42.6,41.0,44.2,75
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,25 to 29,7,38.2,36.6,39.8,73
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,30 to 34,8,34.0,32.4,35.5,71
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,35 to 39,9,29.8,28.3,31.3,69
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,40 to 44,10,25.8,24.3,27.3,67
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,45 to 49,11,21.9,20.4,23.3,65
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,50 to 54,12,18.2,16.8,19.6,62
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,55 to 59,13,14.8,13.4,16.1,59
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,60 to 64,14,11.8,10.4,13.1,56
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,65 to 69,15,9.0,7.7,10.4,53
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,70 to 74,16,6.7,5.3,8.0,50
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,75 to 79,17,4.7,3.3,6.2,46
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,80 to 84,18,3.1,1.8,4.4,42
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,85 to 89,19,1.9,1.1,2.7,37
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Male,1,90+,20,1.2,0.7,1.7,33
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,<1,1,62.7,60.4,64.9,78
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,01 to 04,2,61.8,59.6,64.1,77
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,05 to 09,3,58.1,56.0,60.2,76
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,10 to 14,4,53.4,51.5,55.4,75
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,15 to 19,5,48.8,46.9,50.6,74
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,20 to 24,6,44.3,42.4,46.1,73
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,25 to 29,7,39.8,38.0,41.6,71
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,30 to 34,8,35.5,33.7,37.2,69
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,35 to 39,9,31.3,29.5,33.0,67
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,40 to 44,10,27.2,25.5,28.9,66
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,45 to 49,11,23.4,21.7,25.0,63
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,50 to 54,12,19.7,18.0,21.4,61
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,55 to 59,13,16.3,14.6,17.9,59
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,60 to 64,14,13.1,11.5,14.7,56
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,65 to 69,15,10.1,8.5,11.7,53
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,70 to 74,16,7.7,6.0,9.3,50
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,75 to 79,17,5.5,3.8,7.2,47
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,80 to 84,18,3.8,2.0,5.5,43
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,85 to 89,19,2.4,1.3,3.6,39
2012 to 2014,Scotland,Local Areas,S12000029,South Lanarkshire,Female,2,90+,20,1.5,0.8,2.1,34
2012 to 2014,Scotland,Local Areas,S12000030,Stirling,Male,1,<1,1,64.4,61.9,66.9,82
2012 to 2014,Scotland,Local Areas,S12000030,Stirling,Male,1,01 to 04,2,63.7,61.2,66.2,82
2012 to 2014,Scotland,Local Areas,S12000030,Stirling,Male,1,05 to 09,3,59.8,57.5,62.2,81
2012 to 2014,Scotland,Local Areas,S12000030,Stirling,Male,1,10 to 14,4,55.1,53.0,57.3,80
2012 to 2014,Scotland,Local Areas,S12000030,Stirling,Male,1,15 to 19,5,50.4,48.3,52.5,79
2012 to 2014,Scotland,Local Areas,S12000030,Stirling,Male,1,20 to 24,6,45.7,43.6,47.8,78
